arm,policy,alpha,costing,n_series,n_days,n_reviews,CSR,FR,avg_cost_per_series_day,avg_inventory,total_lost,S_median,n_violations
always-zero,P3,0.98,derived,1921,63,3,0.6446,0.2617,9.635782,16.08,120836.1,0.0,0
always-zero,P3,0.98,margin,1921,63,3,0.6446,0.2617,2.778613,16.08,120836.1,0.0,0
erm-gbdt-rich,P1,0.85,derived,1921,63,3,0.8778,0.8511,0.500095,40.18,24378.5,15.0,0
erm-gbdt-rich,P1,0.9,derived,1921,63,3,0.8976,0.8756,0.658977,49.77,20355.5,18.0,0
erm-gbdt-rich,P1,0.95,derived,1921,63,3,0.9268,0.9083,1.020406,78.92,15006.8,25.0,0
erm-gbdt-rich,P1,0.98,derived,1921,63,3,0.9474,0.9335,1.699023,103.8,10890.5,32.0,0
erm-gbdt-lean,P1,0.85,derived,1921,63,3,0.8806,0.7876,0.606691,44.58,34766.5,22.0,0
erm-gbdt-lean,P1,0.9,derived,1921,63,3,0.9084,0.8233,0.805813,52.98,28919.0,30.0,0
erm-gbdt-lean,P1,0.95,derived,1921,63,3,0.9453,0.8719,1.329032,71.32,20964.0,41.0,0
erm-gbdt-lean,P1,0.98,derived,1921,63,3,0.9674,0.9016,2.68287,107.84,16102.0,67.0,0
erm-linear-rich,P1,0.85,derived,1921,63,3,0.8997,0.9065,0.461477,63.36,15301.8,17.0,0
erm-linear-rich,P1,0.9,derived,1921,63,3,0.9178,0.9276,0.571106,75.31,11843.8,20.0,0
erm-linear-rich,P1,0.95,derived,1921,63,3,0.929,0.9421,0.851655,85.47,9475.8,23.0,0
erm-linear-rich,P1,0.98,derived,1921,63,3,0.9283,0.952,1.579464,98.35,7856.8,24.0,0
erm-linear-lean,P1,0.85,derived,1921,63,3,0.8756,0.7792,0.611274,45.27,36142.5,18.0,0
erm-linear-lean,P1,0.9,derived,1921,63,3,0.9032,0.8175,0.816766,54.45,29879.5,25.0,0
erm-linear-lean,P1,0.95,derived,1921,63,3,0.9424,0.8669,1.343152,75.44,21792.0,42.0,0
