arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
chronos2-ft-full-short,P3,0.95,margin,3363,0.8980077311923877,0.8671667195195351,37.7688590266627,8.14225629101001,29.626602735652696,19.0,1753,35.71885816235504,21346.0
chronos2-ft-full-h32,P3,0.95,margin,3363,0.895926256318763,0.8660901638405731,38.15793428189117,7.971353847754981,30.18658043413619,18.0,1736,35.50565566458519,21519.0
emp-daily,P3,0.95,margin,3363,0.8783823966696402,0.8282800349077846,40.54565590940628,8.700171223114284,31.845484686292,19.0,1768,36.203841807909605,27595.0
gbdt-lean,P3,0.95,margin,3363,0.8807612250966399,0.7791093188153059,47.54289498463673,9.759125314699178,37.783769669937556,25.0,2095,36.6914451382694,35496.619999999995
always-zero,P3,0.95,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.98,margin,3363,0.9164436515016354,0.8807076741867088,36.843341953612835,8.903892057686589,27.939449895926256,22.0,1905,37.2014629794826,19170.0
chronos2-ft-full-short,P1,0.98,margin,3363,0.9081177520071365,0.873538933480558,37.34518403409654,8.603779038556844,28.741404995539696,21.0,1869,36.50833184656556,20322.0
chronos2-zs,P1,0.98,margin,3363,0.9241748438893844,0.8836759808853494,37.506748039448894,10.111062639508376,27.395685399940525,24.0,2038,38.51829319060363,18693.0
chronos2-ft-full-h32,P1,0.98,margin,3363,0.9090098126672613,0.8727112924094486,37.618991918921594,8.391919364654575,29.22707255426702,20.0,1836,36.26702943800178,20455.0
emp-daily,P1,0.98,margin,3363,0.8896818316978888,0.8368862574742834,39.958042791158675,9.184684182773317,30.77335860838537,21.0,1870,37.065572405590245,26212.0
